YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR
2025,1,1,1/1/2025 0:00,AS,1119,13891,1389101,32575,ONT,"Ontario, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,112,14747,1474703,30559,SEA,"Seattle, WA",WA,11630,1163003,31517,FAI,"Fairbanks, AK",AK
2025,1,1,1/1/2025 0:00,AS,1120,14747,1474703,30559,SEA,"Seattle, WA",WA,10800,1080003,32575,BUR,"Burbank, CA",CA
2025,1,1,1/1/2025 0:00,AS,1121,14679,1467903,33570,SAN,"San Diego, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1122,14057,1405702,34057,PDX,"Portland, OR",OR,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1124,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1125,13796,1379610,32457,OAK,"Oakland, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1127,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,113,11884,1188402,31884,GEG,"Spokane, WA",WA,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1130,14831,1483106,32457,SJC,"San Jose, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1131,14747,1474703,30559,SEA,"Seattle, WA",WA,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1137,14679,1467903,33570,SAN,"San Diego, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1138,14747,1474703,30559,SEA,"Seattle, WA",WA,14689,1468902,34689,SBA,"Santa Barbara, CA",CA
2025,1,1,1/1/2025 0:00,AS,1139,14689,1468902,34689,SBA,"Santa Barbara, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,114,14679,1467903,33570,SAN,"San Diego, CA",CA,11884,1188402,31884,GEG,"Spokane, WA",WA
2025,1,1,1/1/2025 0:00,AS,1140,14747,1474703,30559,SEA,"Seattle, WA",WA,14771,1477104,32457,SFO,"San Francisco, CA",CA
2025,1,1,1/1/2025 0:00,AS,1142,14747,1474703,30559,SEA,"Seattle, WA",WA,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1143,14057,1405702,34057,PDX,"Portland, OR",OR,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1144,14747,1474703,30559,SEA,"Seattle, WA",WA,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1147,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1148,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1149,14908,1490803,32575,SNA,"Santa Ana, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,115,14771,1477104,32457,SFO,"San Francisco, CA",CA,11618,1161802,31703,EWR,"Newark, NJ",NJ
2025,1,1,1/1/2025 0:00,AS,1150,10800,1080003,32575,BUR,"Burbank, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1152,14747,1474703,30559,SEA,"Seattle, WA",WA,13796,1379610,32457,OAK,"Oakland, CA",CA
2025,1,1,1/1/2025 0:00,AS,1156,14747,1474703,30559,SEA,"Seattle, WA",WA,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1158,14057,1405702,34057,PDX,"Portland, OR",OR,14908,1490803,32575,SNA,"Santa Ana, CA",CA
2025,1,1,1/1/2025 0:00,AS,116,10299,1029906,30299,ANC,"Anchorage, AK",AK,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1160,14057,1405702,34057,PDX,"Portland, OR",OR,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1162,14057,1405702,34057,PDX,"Portland, OR",OR,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1168,14747,1474703,30559,SEA,"Seattle, WA",WA,10800,1080003,32575,BUR,"Burbank, CA",CA
2025,1,1,1/1/2025 0:00,AS,1169,14771,1477104,32457,SFO,"San Francisco, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,117,14771,1477104,32457,SFO,"San Francisco, CA",CA,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1172,14057,1405702,34057,PDX,"Portland, OR",OR,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1173,14908,1490803,32575,SNA,"Santa Ana, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1178,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1179,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,118,10299,1029906,30299,ANC,"Anchorage, AK",AK,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1180,14747,1474703,30559,SEA,"Seattle, WA",WA,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1185,14831,1483106,32457,SJC,"San Jose, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1186,14679,1467903,33570,SAN,"San Diego, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1190,14747,1474703,30559,SEA,"Seattle, WA",WA,14908,1490803,32575,SNA,"Santa Ana, CA",CA
2025,1,1,1/1/2025 0:00,AS,1191,14908,1490803,32575,SNA,"Santa Ana, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1199,14679,1467903,33570,SAN,"San Diego, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,120,12889,1288904,32211,LAS,"Las Vegas, NV",NV,14771,1477104,32457,SFO,"San Francisco, CA",CA
2025,1,1,1/1/2025 0:00,AS,1202,14747,1474703,30559,SEA,"Seattle, WA",WA,14908,1490803,32575,SNA,"Santa Ana, CA",CA
2025,1,1,1/1/2025 0:00,AS,1203,14908,1490803,32575,SNA,"Santa Ana, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1205,14771,1477104,32457,SFO,"San Francisco, CA",CA,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL
2025,1,1,1/1/2025 0:00,AS,1206,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,14771,1477104,32457,SFO,"San Francisco, CA",CA
2025,1,1,1/1/2025 0:00,AS,121,14057,1405702,34057,PDX,"Portland, OR",OR,10800,1080003,32575,BUR,"Burbank, CA",CA
2025,1,1,1/1/2025 0:00,AS,1216,14747,1474703,30559,SEA,"Seattle, WA",WA,14893,1489302,33192,SMF,"Sacramento, CA",CA
2025,1,1,1/1/2025 0:00,AS,1219,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,122,10800,1080003,32575,BUR,"Burbank, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1223,14747,1474703,30559,SEA,"Seattle, WA",WA,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1225,14771,1477104,32457,SFO,"San Francisco, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1227,14831,1483106,32457,SJC,"San Jose, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1228,14747,1474703,30559,SEA,"Seattle, WA",WA,14908,1490803,32575,SNA,"Santa Ana, CA",CA
2025,1,1,1/1/2025 0:00,AS,1229,14908,1490803,32575,SNA,"Santa Ana, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,123,14679,1467903,33570,SAN,"San Diego, CA",CA,11638,1163807,31638,FAT,"Fresno, CA",CA
2025,1,1,1/1/2025 0:00,AS,1231,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1233,14057,1405702,34057,PDX,"Portland, OR",OR,14107,1410702,30466,PHX,"Phoenix, AZ",AZ
2025,1,1,1/1/2025 0:00,AS,1233,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,124,11638,1163807,31638,FAT,"Fresno, CA",CA,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1240,14747,1474703,30559,SEA,"Seattle, WA",WA,13796,1379610,32457,OAK,"Oakland, CA",CA
2025,1,1,1/1/2025 0:00,AS,1245,14679,1467903,33570,SAN,"San Diego, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1246,14747,1474703,30559,SEA,"Seattle, WA",WA,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1247,13796,1379610,32457,OAK,"Oakland, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1256,14747,1474703,30559,SEA,"Seattle, WA",WA,14262,1426204,34262,PSP,"Palm Springs, CA",CA
2025,1,1,1/1/2025 0:00,AS,1258,14747,1474703,30559,SEA,"Seattle, WA",WA,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1259,14679,1467903,33570,SAN,"San Diego, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1265,14679,1467903,33570,SAN,"San Diego, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1268,14057,1405702,34057,PDX,"Portland, OR",OR,10693,1069302,30693,BNA,"Nashville, TN",TN
2025,1,1,1/1/2025 0:00,AS,1269,10693,1069302,30693,BNA,"Nashville, TN",TN,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1279,11884,1188402,31884,GEG,"Spokane, WA",WA,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,128,14057,1405702,34057,PDX,"Portland, OR",OR,14771,1477104,32457,SFO,"San Francisco, CA",CA
2025,1,1,1/1/2025 0:00,AS,1280,12892,1289208,32575,LAX,"Los Angeles, CA",CA,11884,1188402,31884,GEG,"Spokane, WA",WA
2025,1,1,1/1/2025 0:00,AS,1283,14057,1405702,34057,PDX,"Portland, OR",OR,13891,1389101,32575,ONT,"Ontario, CA",CA
2025,1,1,1/1/2025 0:00,AS,1284,14747,1474703,30559,SEA,"Seattle, WA",WA,14771,1477104,32457,SFO,"San Francisco, CA",CA
2025,1,1,1/1/2025 0:00,AS,1287,14747,1474703,30559,SEA,"Seattle, WA",WA,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1288,14747,1474703,30559,SEA,"Seattle, WA",WA,14908,1490803,32575,SNA,"Santa Ana, CA",CA
2025,1,1,1/1/2025 0:00,AS,1289,14771,1477104,32457,SFO,"San Francisco, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,129,11292,1129202,30325,DEN,"Denver, CO",CO,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1290,14747,1474703,30559,SEA,"Seattle, WA",WA,10800,1080003,32575,BUR,"Burbank, CA",CA
2025,1,1,1/1/2025 0:00,AS,1291,10800,1080003,32575,BUR,"Burbank, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1293,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1294,14679,1467903,33570,SAN,"San Diego, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,1295,14057,1405702,34057,PDX,"Portland, OR",OR,14771,1477104,32457,SFO,"San Francisco, CA",CA
2025,1,1,1/1/2025 0:00,AS,1296,14057,1405702,34057,PDX,"Portland, OR",OR,14679,1467903,33570,SAN,"San Diego, CA",CA
2025,1,1,1/1/2025 0:00,AS,1299,14908,1490803,32575,SNA,"Santa Ana, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
2025,1,1,1/1/2025 0:00,AS,130,10299,1029906,30299,ANC,"Anchorage, AK",AK,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1300,14747,1474703,30559,SEA,"Seattle, WA",WA,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1301,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14747,1474703,30559,SEA,"Seattle, WA",WA
2025,1,1,1/1/2025 0:00,AS,1304,14747,1474703,30559,SEA,"Seattle, WA",WA,14771,1477104,32457,SFO,"San Francisco, CA",CA
2025,1,1,1/1/2025 0:00,AS,1306,14747,1474703,30559,SEA,"Seattle, WA",WA,12892,1289208,32575,LAX,"Los Angeles, CA",CA
2025,1,1,1/1/2025 0:00,AS,1309,14747,1474703,30559,SEA,"Seattle, WA",WA,14771,1477104,32457,SFO,"San Francisco, CA",CA
2025,1,1,1/1/2025 0:00,AS,131,14747,1474703,30559,SEA,"Seattle, WA",WA,10299,1029906,30299,ANC,"Anchorage, AK",AK
2025,1,1,1/1/2025 0:00,AS,1310,14747,1474703,30559,SEA,"Seattle, WA",WA,14831,1483106,32457,SJC,"San Jose, CA",CA
2025,1,1,1/1/2025 0:00,AS,1313,12892,1289208,32575,LAX,"Los Angeles, CA",CA,14057,1405702,34057,PDX,"Portland, OR",OR
